"metric","value","threshold","passes"
"overall_avg_agreement",88.5714285714286,80,TRUE
"delay_baseline",0,4,TRUE
"delay_low_sd",-0.148571428571429,4,TRUE
"delay_skeptical",0.559999999999999,4,TRUE
"delay_vague",-0.16,4,TRUE
