session,multiple_winners,no_differential,one_winner_strong,one_winner_weak,overall
12,0.17142857142857143,0.04,0.46808510638297873,0.15625,0.21571428571428572
16,0.5261904761904762,0.08,0.6595744680851063,0.328125,0.48714285714285716
20,0.7928571428571428,0.25333333333333335,0.8014184397163121,0.390625,0.7
24,0.8785714285714286,0.3333333333333333,0.8581560283687943,0.515625,0.7828571428571428
28,0.9095238095238095,0.4666666666666667,0.9078014184397163,0.59375,0.8328571428571429
32,0.930952380952381,0.5733333333333334,0.9432624113475178,0.640625,0.8685714285714285
36,0.95,0.64,0.9574468085106383,0.734375,0.8985714285714286
